@relation 'cpu-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 5'

@attribute -0.469MMAX-0.435CHMIN-0.429CACH-0.427MMIN-0.374CHMAX... numeric
@attribute 0.682MYCT+0.559CHMAX-0.333MMIN+0.275CHMIN+0.152CACH... numeric
@attribute 0.669MYCT+0.548MMIN-0.426CHMAX+0.264MMAX-0.03CHMIN... numeric
@attribute 0.714CACH-0.477MMAX-0.436CHMAX+0.255CHMIN-0.088MMIN... numeric
@attribute 0.812CHMIN-0.519CACH-0.226CHMAX-0.135MMAX-0.045MYCT... numeric
@attribute class numeric

@data
2.116418,1.162164,1.322357,0.072401,-0.074508,20
0.787068,-0.679057,-0.497031,0.052204,0.340765,27
0.542657,-0.688115,-0.402958,0.030036,0.192491,45
0.670391,-0.768698,-0.394099,-0.044666,-0.045802,56
0.181569,-0.786813,-0.205952,-0.089003,-0.342349,70
0.181569,-0.786813,-0.205952,-0.089003,-0.342349,80
-0.790247,-1.12634,0.587418,0.129098,-0.670588,136
0.8568,-0.54136,-0.415207,-0.13028,0.164635,16
0.603643,-0.451785,-0.403432,0.291287,-0.141759,26
0.539776,-0.411494,-0.407861,0.328638,-0.022612,32
0.036488,-0.536053,-0.384735,-0.392705,-0.037712,45
-0.281691,-0.370391,-0.392135,-0.06987,0.166532,54
-0.281691,-0.370391,-0.392135,-0.06987,0.166532,65
-1.012785,2.534816,-2.473628,-1.782531,-0.1437,30
0.701604,-0.632955,-0.173981,0.13941,-0.133176,50
0.98052,-0.603298,-0.303805,0.022663,0.074325,40
0.464029,-0.569035,-0.274427,0.372551,-0.359497,62
0.464029,-0.569035,-0.274427,0.372551,-0.359497,60
0.759379,-0.673539,-0.288165,-0.119277,-0.002037,50
0.073446,-0.922838,0.136749,-0.277587,-0.240264,66
-0.112038,-0.902439,0.106066,0.005011,-0.44192,86
-0.51347,-0.407151,-0.211162,0.728451,-0.395527,74
-0.733833,-0.578847,0.071241,0.682978,-0.391228,93
-0.77376,-0.562066,0.012745,0.65049,-0.406861,111
-1.027204,-0.254548,-0.042448,0.659691,-0.105356,143
0.262397,-0.436724,-0.388611,0.246807,0.426606,105
-1.166041,-0.801249,0.424451,0.009972,0.31733,214
-2.258825,-0.665508,0.669515,-0.212799,-0.345246,277
-2.264396,-0.678614,0.65667,-0.212282,-0.344377,370
-4.443665,-0.624365,1.658727,0.894405,-0.261061,510
-1.151593,-0.342749,-0.070737,-0.35939,0.145574,214
-2.261053,-0.67075,0.664377,-0.212592,-0.344899,326
-5.687609,-0.339573,1.832207,3.277685,-1.82429,510
1.242866,-0.525088,-0.504903,0.14936,0.141521,8
1.142878,-0.565216,-0.587103,0.078063,0.117482,12
1.031668,-0.658065,-0.61396,-0.000382,0.099278,17
0.812689,-0.720378,-0.460491,-0.137988,0.060986,21
0.732676,-0.739836,-0.415417,-0.219333,0.037915,24
0.512313,-0.911532,-0.133014,-0.264806,0.042214,34
0.352288,-0.950448,-0.042866,-0.427497,-0.003928,42
0.192263,-0.989364,0.047282,-0.590188,-0.050069,46
-1.148709,0.281006,-0.623683,0.457119,1.215572,51
-1.148709,0.281006,-0.623683,0.457119,1.215572,116
-1.135204,-1.020195,0.58396,0.556961,-0.497953,100
-2.467882,-0.739728,0.811359,1.917846,-1.815814,140
-2.481387,0.561473,-0.396284,1.818004,-0.102289,212
1.329693,-0.34715,-0.223491,0.133097,0.13206,25
1.220896,-0.323615,-0.211224,0.018227,0.091619,30
0.261211,-0.188016,0.035124,0.940216,-0.77811,41
1.287196,-0.086175,-0.200894,-0.026142,0.055822,25
1.095595,0.034699,-0.214182,0.08591,0.413263,50
0.728411,-0.219588,0.122544,-0.524507,-0.103006,50
1.194608,-0.357605,-0.398311,0.051834,0.063304,30
1.103709,-0.193075,-0.501454,0.157595,0.298613,32
0.948017,-0.183638,-0.474092,-0.004727,-0.090414,38
0.703607,-0.192695,-0.380019,-0.026896,-0.238687,60
0.439046,-0.240323,-0.214564,0.248174,-0.432115,109
1.369257,-0.139327,-0.224655,0.304482,0.024777,6
1.300466,-0.106063,-0.234925,0.230285,-0.004129,11
0.735177,-0.462044,-0.384621,0.153506,0.211702,22
0.264038,-0.158798,-0.480139,0.190639,0.374458,33
0.340544,-0.301831,-0.393398,0.068116,0.130464,58
-0.398907,-0.673555,-0.026196,0.017319,-0.1352,130
-0.035834,-0.682437,-0.025123,-0.101671,0.487242,75
-0.358817,-0.535709,-0.10722,0.253987,0.148019,113
-1.853022,-0.298877,0.340015,0.585399,0.312606,188
-1.50169,-0.915777,0.568781,-0.31396,0.22748,173
-2.414751,-0.713009,0.74706,0.072149,0.203258,248
-4.08652,0.353297,0.462851,1.376343,0.677004,405
-0.081333,0.127959,-0.591369,0.150704,-0.07816,70
-1.065717,-0.311091,-0.195579,-0.888254,-0.104889,114
-2.970419,1.14322,-0.698887,-0.155486,1.745835,208
-6.054455,3.547476,-1.635638,1.068186,3.574964,307
-6.274818,3.37578,-1.353235,1.022713,3.579263,397
-6.330841,2.545006,-1.130351,-3.349623,-1.964761,915
-6.668384,2.664439,-1.11465,-2.787534,-2.373287,1150
1.294318,-0.334178,-0.350406,0.05384,0.102194,12
1.266773,-0.35564,-0.315106,0.048156,0.102732,14
1.294318,-0.334178,-0.350406,0.05384,0.102194,18
1.266773,-0.35564,-0.315106,0.048156,0.102732,21
0.918622,-0.475751,-0.38193,-0.20364,0.023946,42
0.488244,-0.384176,-0.437452,0.398492,-0.260914,46
0.659333,-0.389708,-0.341011,-0.289701,0.092956,52
1.210505,0.406437,0.615068,0.429417,-0.497173,67
1.654304,0.284026,0.578126,0.018924,-0.041457,45
